,shortest
359,4336.222372701883
360,4173.905505071796
361,4173.905505071796
362,4173.905505071796
363,4173.905505071796
364,4173.905505071796
365,4545.2779375375885
366,4564.676955041854
367,4196.20717833414
368,4196.20717833414
369,4196.20717833414
370,4196.20717833414
371,4196.20717833414
372,4128.285292805899
373,4128.285292805899
374,4128.285292805899
375,4196.20717833414
376,4359.540778055984
377,4289.371028418396
378,3872.761007531268
379,3872.761007531268
380,3872.761007531268
381,3872.761007531268
382,3872.761007531268
383,3872.761007531268
384,3894.5400541242584
385,3894.5400541242584
386,3894.5400541242584
387,3894.5400541242584
388,3894.5400541242584
389,3894.5400541242584
390,3906.495510804289
391,3906.495510804289
392,3888.3743350294712
393,3888.3743350294712
394,3906.495510804289
395,3981.468749736092
396,4162.855962085685
397,4162.855962085685
398,4186.201891167685
399,4186.201891167685
400,3969.2492605186085
401,4308.857634342924
402,4308.857634342924
403,4308.857634342924
404,4344.400266592377
405,4344.400266592377
406,4344.400266592377
407,4564.743201225323
408,4043.0427865918796
409,4043.0427865918796
410,3859.662666013195
411,3859.662666013195
412,3859.662666013195
413,3859.662666013195
414,4244.576953597016
415,3705.9142713861247
416,4244.576953597016
417,4244.576953597016
418,4392.248140570893
419,4308.291166990156
420,4041.757896065859
421,4041.757896065859
422,4410.861688710793
423,4410.861688710793
424,4410.861688710793
425,4430.3464532259795
426,3956.612155148844
427,3956.612155148844
428,3954.45943159532
429,4107.894847786414
430,4011.7280237096847
431,4011.7280237096847
432,3970.154759261529
433,4011.3045668657037
434,4011.3045668657037
435,3948.1553716205185
436,3806.559534869723
437,3806.559534869723
438,3806.559534869723
439,3910.4431585718494
440,3910.4431585718494
441,3821.9129437391384
442,3821.9129437391384
443,3821.9129437391384
444,3821.9129437391384
445,3821.9129437391384
446,3821.9129437391384
447,3821.9129437391384
448,3821.9129437391384
449,3821.9129437391384
450,3821.9129437391384
451,3821.9129437391384
452,4597.80928776124
453,3934.7982324283257
454,4538.462134809643
455,4451.925279491903
456,4421.056404451808
457,4421.056404451808
458,4142.300625457797
459,4142.300625457797
460,3908.040723208255
461,3936.06873967324
462,3936.06873967324
463,3936.06873967324
464,3868.882739937553
