,total
201,605194.8308088038
202,625846.29733487
203,602677.5743456903
204,593017.6487417413
205,585468.0251839721
206,596345.376456422
207,592323.499281262
208,600599.4351929511
209,605164.5128015237
210,582321.8296972843
211,579854.3179188371
212,590262.4287960915
213,591632.5202407194
214,561334.2686277027
215,594377.6301459747
216,581438.0161160425
217,582408.6075133533
218,572137.4914897106
219,570034.816034681
220,570984.6929170318
221,584379.6725705148
222,562213.9680762088
223,567243.1751016356
224,555951.6663151669
225,550161.125576603
226,582230.7892069524
227,573822.6046988805
228,573242.9485058225
229,580567.3953306441
230,578979.383790257
231,563954.6410387779
232,554494.0770468981
233,579836.5487057032
234,570757.0776224568
235,562962.1658843966
236,568856.3805378912
237,582046.1240226811
238,596723.2299958427
239,609632.7869798339
240,601141.3754516891
241,583198.5521030661
242,578872.3942977629
243,587977.310156698
244,599004.4509405112
245,607276.6715710807
246,596392.7723040179
247,585866.2685660088
248,574052.1803337712
249,579601.4690284998
250,571278.0789697039
251,580126.9955410142
252,577800.3479992866
253,573538.3438440687
254,581187.4391315465
255,580079.3757187157
256,584648.935247547
257,587890.0956522909
258,586243.5270217899
259,591266.2915676153
260,587457.3206258455
261,590488.4037978353
262,600549.5382416473
263,609096.0678972591
264,594084.0731837829
265,599850.9050544993
266,586661.7066993722
267,600317.2535405288
268,605232.4252287118
269,598121.7540966797
270,601519.3265687837
271,598539.6857883811
272,596387.4182109177
273,595711.889508448
274,592383.7169454383
275,576085.0132695298
276,592010.2395489336
277,595077.3884555759
278,591673.3968152199
279,580813.7229602103
280,580905.8569882384
281,578470.5198840152
282,592327.2673568174
283,598323.589417994
284,582301.671968483
285,568437.8600141116
286,579081.6384549252
287,583410.728998676
288,584255.7863285083
289,584769.2578724615
290,594090.634934744
291,591799.461535652
292,599777.5543523408
293,588910.6522233164
294,591533.7198447571
295,596578.2210512804
296,581150.8064260223
297,571332.3196860355
298,598363.944054181
299,586434.2996063814
300,597960.9164368615
301,581060.8227489707
302,573476.415933812
303,593278.1505191997
304,582654.8409026121
305,604318.0460143468
306,580894.2469674374
307,585220.9933442256
308,576064.6003092703
309,573833.0505695101
310,607229.6547473848
311,594234.1561605623
312,593068.8407435594
313,588423.9028665749
314,587914.0368614917
315,601489.4903597994
316,603630.6158710154
317,595922.9435801596
318,606887.632158415
319,601688.8372127392
320,587792.8855290539
321,587772.950943618
322,578138.432005052
323,580213.4246143849
324,570958.3261309292
325,580784.1123232555
326,572241.5655949361
327,563750.8124893098
328,565395.3729764478
329,574438.2063160877
330,572693.2263517218
331,563551.7525780755
332,572452.5000573917
333,585652.3123482455
334,592676.6603951234
335,601777.5845583454
336,580857.233154062
337,583205.3802475346
338,584116.4086664736
339,601375.3174575606
340,571180.3373727282
341,565701.000458771
342,567259.5650446928
343,558699.3244500875
344,551093.5331200227
345,567610.3058692439
346,558973.9343279795
347,566069.3962166908
348,573049.0908448448
349,565442.4299293655
350,582013.6634267207
351,564338.647531718
352,559040.2154602463
353,573107.0968882312
354,600340.1976845623
355,575605.6730918535
